"Código","Concurso","Área ","Título","Director General"
"ID16I10027","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO, PRODUCCIÓN Y CARACTERIZACIÓN DE ANTICUERPO RECOMBINANTE HUMANO CONTRA MIC-A CON POTENCIA L TERAPÉUTICO PARA EL TRATAMIENTO DE CÁNCER GÁSTRICO","MARIA MOLINA SAMPAYO"
"ID16I10031","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO DE MODELO DE GESTIÓN INTEGRAL PARA LA INCLUSIÓN SUSTENTABLE DE MUJERES EN INDUSTRIAS MASC ULINIZADAS -LA MINERÍA EN CHILE-, BASADO EN SISTEMA DE ALERTA TEMPRANA DE BARRERAS DE GÉNERO Y PROTO TIPO DE INTERVENCIÓN","PAMELA CARO MOLINA"
"ID16I10038","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO DE UN TRATAMIENTO FARMACOLÓGICO PARA LA PREVENCIÓN DE LAS INFECCIONES RECURRENTES POR CLO STRIDIUM DIFFICILE","DANIEL PAREDES SABJA"
"ID16I10045","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DISEÑO DE CONSORCIOS MICROBIANOS PARA EL TRATAMIENTO DE ENFERMEDADES INFLAMATORIAS DEL INTESTINO","DANIEL GARRIDO CORTES"
"ID16I10048","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","PREPARACIÓN Y CARACTERIZACIÓN DE METAMATERIALES MAGNÉTICOS PARA DETECCIÓN REMOTA DE TENSIONES EN NEU MÁTICOS","CARLOS GARCIA"
"ID16I10060","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO Y EVALUACIÓN DE UN MODELO DE INTERVENCIÓN BASADO EN TECNOLOGÍAS DE LA INFORMACIÓN Y DE LA COMUNICACIÓN (TICS) PARA REDUCIR EL RIESGO DE SUICIDIO ADOLESCENTE EN ESTABLECIMIENTOS EDUCACIONALE S DE LA RM Y LA VI REGIÓN","RUBEN ALVARADO MUÑOZ"
"ID16I10090","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","HABILIDADES Y COMPETENCIAS PARA LA EDUCACIÓN SUPERIOR. DESARROLLO DE INSTRUMENTOS Y PROPUESTAS QUE A PORTEN A UN NUEVO SISTEMA DE ADMISIÓN","MARIA VARAS SCHEUCH"
"ID16I10092","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","PRODUCCION DE CAVIAR DE LISA (MUGIL CEPHALUS) COMO UN NUEVO PRODUCTO COMERCIAL EN CHILE Y EVALUACIÓN BIOLÓGICA Y TÉCNICA DEL CULTIVO.","ARIEL VALENZUELA SALDIAS"
"ID16I10101","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","NUEVA TERAPIA FARMACOLÓGICA PARA EL TRATAMIENTO DE SARCOPENIA Y DISTROFIAS MUSCULARES. PRUEBA DE CON CEPTO.","MARIANA CASAS ATALA"
"ID16I10105","III CONCURSO IDEA EN DOS ETAPAS 2016","ENERGIA Y AGUAS","RED MULTISENSORIAL DISTRIBUIDA PARA LA EVALUACIÓN DEL RECURSO EÓLICO SOBRE TERRENO COMPLEJO CON SOND AS AEROTRANSPORTADAS Y GEORREFERENCIADAS","ALEX FLORES MARADIAGA"
