"","","","","","","","","",""
"PROYECTOS DE INVESTIGACION Y DESARROLLO DESDE EL AÑO 2000","","","","","","","","",""
"(Los montos están en miles $)","","","","","","","","",""
"","","","","","","","","",""
"CODIGO","AÑO CONCURSO","TITULO","PALABRA CLAVE 1","PALABRA CLAVE 2","PALABRA CLAVE 3","DIRECTOR GENERAL","FECHA INICIO","FECHA TERMINO","MONTO ADJ. FONDEF"
"D00I1164","2000","PROTECCION POR DISEÑO EN EL USO DE LA MADERA EN LA INFRAESTRUCTURA VIAL: PUENTES, PASARELAS Y ELEMENTOS DE SEGURIDAD","INNOVACION","INFRAESTRUCTURA","MADERA","RICARDO HEMPEL HOLZAPFEL","4/4/2001","12/15/2006","178.000"
"D00I1167","2000","DESARROLLO CIENTIFICO TECNOLOGICO DE UNA METODOLOGIA DE EVALUACION FISICA, MECANICA Y TERMICA DEL FRAGUADO IN SITU DE SISTEMAS ADHESIVOS","ADHESIVOS","FRAGUADO IN SITU","TECNICAS DE ADHESIVO","ALDO BALLERINI ARROYO","4/4/2001","6/4/2003","254.000"
"D00I1168","2000","OPTIMIZACION DE LA PRODUCCION DE SEMILLAS DE INVERTEBRADOS MARINOS DE IMPORTANCIA COMERCIAL MEDIANTE LA UTILIZACION DE BIOPELICULAS MICROBIANA","SEMILLAS","INVERTEBRADOS","BIOPELICULAS","CARLOS RIQUELME SALAMANCA","4/4/2001","11/4/2003","246.000"
"D00I1177","2000","MODELO DE EDUCACION PARA EL DESARROLLO EN LICEOS DE LOCALIDADES PEQUEÑAS Y ECONOMIA MARGINAL ","MODELO","DESARROLLO","EDUCATIVO","GASTON SEPULVEDA ESPINOZA","6/1/2001","6/1/2004","175.000"
"D00I1179","2000","DESARROLLO DE UN PORTAL DE TELECENTROS PARA REDES COMUNITARIAS ","PORTAL","TELECENTROS","COMUNIDADES","PEDRO HEPP KUSCHEL","7/17/2001","7/17/2002","50.000"
"D00I1181","2000","DESARROLLO DE LA PESQUERIA DE LANGOSTINO DE LOS CANALES (MUNIDA SUBRUGOSA), EN LA XII REGION, MAGALLANES Y ANTARTICA CHILENA","TECNOLOGIA","PESQUERIAS","LANGOSTINO DE LOS CANALES","MATTHIAS GORNY ","5/18/2001","9/30/2003","286.000"
"D01I1002","2001","UNA ESTRATEGIA METODOLOGICA PARA LA ENSEÑANZA Y EL APRENDIZAJE SIGNIFICATIVO DE EDUCACION MATEMATICA Y ESTUDIO Y COMPRENSION DE LA NATURALEZA EN NB5 Y NB6 SUSTENTADA EN EL PROGRAMA MENTES ACTIVAS","METODOLOGIA","APRENDIZAJE","MATEMATICA Y CIENCIAS","ELIANA LLUCH ARENAS","4/1/2002","4/30/2005","150.000"
"D01I1007","2001","DISEÑO, DESARROLLO E IMPLEMENTACION DE TECNOLOGIA PORTATIL PARA EL MEJORAMIENTO DE LA CALIDAD Y GESTION DE LA EDUCACION: EDUCANDO PARA REDUCIR LA BRECHA DIGITAL","COMPUTACION EDUCATIVA","TECNOLOGIA PORTATIL","REFORMA ENSEÑANZA MEDIA","MIGUEL NUSSBAUM VOEHL","6/2/2002","8/2/2005","230.000"
"D01I1008","2001","SILVICULTURA Y MANEJO DE LA SEQUOIA EN CHILE Y FOMENTO DE SU PLANTACION FORESTAL SUSTENTABLE (SEQUOIA SEMPERVIRENS - REDWOOD)","SEQUOIA","PLANTACION COMERCIAL","SUSTENTABLE","MANUEL TORAL IBAÑEZ","4/15/2002","11/15/2005","199.000"
"D01I1010","2001","ADAPTACION Y USO DE LA ESPECIE MORERA (MORUS SP.) EN EL SECTOR AGROPECUARIO COMO FUENTE DE FORRAJE ","MORERA","FRUTOS","FORRAJE","HECTOR MANTEROLA BADILLA","7/1/2002","8/30/2005","198.000"
"D01I1012","2001","FUNDAMENTOS METALOGENICOS, MINERALOGICOS Y GEOQUIMICOS PARA UNA EXPLORACION INNOVATIVA DE DEPOSITOS DE COBRE TIPO MANTO: APLICACIONES EN LA CORDILLERA DE LA COSTA DEL NORTE DE CHILE","INNOVACION","EXPLORACION","COBRE","CARLOS PALACIOS MONASTERIO","4/18/2002","5/30/2004","220.000"
"D01I1016","2001","IDENTIFICACION VARIETAL DE VINOS CHILENOS MEDIANTE INSTRUMENTACION INTELIGENTE ","INSTRUMENTACION","VINOS","IDENTIFICACION","NICOLAS BELTRAN MATURANA","4/1/2002","5/1/2006","189.000"
"D01I1017","2001","REFINACION A FUEGO CONTINUA DE COBRE  ","REFINACION","PIROMETALURGIA","COBRE","GABRIEL RIVEROS URZUA","5/1/2002","10/1/2005","239.000"
"D01I1021","2001","SIMULADOR DE ARBOL INDIVIDUAL DE PINO RADIATA (PINUS RADIATA D.DON): ARQUITECTURA DE COPA Y CALIDAD DE MADERA","SIMULACION","CALIDAD","CARBONO","ROLAND PETERS NARIO","6/14/2002","11/15/2005","200.000"
"D01I1022","2001","DISEÑO Y GESTION DE METODOLOGIAS INNOVADORAS PARA EL APRENDIZAJE DE ESTRATEGIAS COGNITIVAS Y DESARROLLO DE COMPETENCIAS BASICAS, EN TRABAJADORES DE PEQUEÑAS Y MEDIANAS EMPRESAS DE LA 5ta. REGION","CAPACITACION","COMPETENCIAS BASICAS","PYME","ALBERTO URETA ALAMOS","6/3/2002","9/2/2004","103.000"
"D01I1024","2001","EVALUACION Y DESARROLLO DE UN NUEVO INMUNOESTIMULANTE DE ORIGEN NATURAL ","INMUNOESTIMULANTE","FARMACO","NATURAL","JUAN HANCKE OROZCO","5/2/2002","8/30/2005","172.000"
"D01I1027","2001","INFRAESTRUCTURA DE REDES DE NUEVA GENERACION PARA EL DESARROLLO DE LA CIENCIA Y LA TECNOLOGIA ","REDES","DESARROLLO","INVESTIGACION","FLORENCIO UTRERAS DIAZ","4/18/2002","10/15/2003","250.000"
"D01I1028","2001","DESARROLLO DE UN SISTEMA DE PRODUCCION DE ABEJORRO (BOMBUS) COMO TECNOLOGIA DE POLINIZACION EN FRUTAS, HORTALIZAS Y SEMILLAS DE FORRAJERAS","AGRICULTURA","ENTOMOLOGIA","CALIDAD","PATRICIA ESTAY PALACIOS","5/1/2002","11/30/2005","133.000"
"D01I1031","2001","INVESTIGACION, DESARROLLO Y PRODUCCION DE PROTEASAS Y LIPASAS CRIOFILICAS COMERCIALES DE FUENTES MARINAS","PROTEASAS-CRIOFILICAS","LIPASAS-CRIOFILICAS","ORIGEN-MARINO","JUAN ASENJO DE LEUZE","4/8/2002","9/30/2005","227.000"
"D01I1034","2001","DESARROLLO DE PRACTICAS SUSTENTABLES DE RECICLAJE DE BIOSOLIDOS EN PLANTACIONES FORESTALES ","MEDIO AMBIENTE","BIOSOLIDOS","PLANTACIONES FORESTALES","SILVIA AGUILERA SANTELICES","5/15/2002","5/14/2005","189.000"
"D01I1035","2001","DESARROLLO DE MODELOS PARA FUSION DE IMAGENES Y USO DE LOCALIZADORES 6D: HERRAMIENTAS DE APOYO AL DIAGNOSTICO MEDICO Y PROCEDIMIENTOS QUIRURGICOS","IMAGENES","FUSION","PROCEDIMIENTOS QUIRURGICOS","RAUL GOUET BAÑARES","8/1/2002","1/31/2007","236.000"
"D01I1038","2001","DESARROLLO DE UN PROCESO DE BIORREMEDIACION DE AGUAS PARA LA INDUSTRIA MINERA Y MANUFACTURERA ","BIORREMEDIACION","AGUA","METALES","DAVOR COTORAS TADIC","5/1/2002","4/30/2006","150.000"
"D01I1040","2001","METODOLOGIA PARA EL TRABAJO EN VALORES EN EL MARCO DE LOS OBJETIVOS TRANSVERSALES DE LA REFORMA EDUCATIVA","VALORES","EDUCACION","TRANSVERSALES","MARIA MENA EDWARDS","3/15/2002","10/31/2004","186.000"
"D01I1046","2001","GENERACION DE FUENTES ALTERNATIVAS DE MATERIAS PRIMAS PARA LA ALIMENTACION DE ESPECIES ACUICOLAS, BASADAS EN PRODUCTOS ALGALES: I. PECES","ALIMENTACION","ALGAS","PECES","MARIA TOLEDO DONOSO","7/1/2002","5/15/2005","160.000"
"D01I1048","2001","PROGRAMA DE PREVENCION EN SEGURIDAD VIAL QUE CONTEMPLA EL DESARROLLO DE UNA COMUNIDAD VIRTUAL, CAPACITACION VIRTUAL DE PROFESORES DE ENSEÑANZA PARVULARIA, BASICA Y MEDIA Y LA IMPLEMENTACION DE RECURSOS INSTRUCCIONALES PARA LOS ALUMNOS EN UNA PLATAFORMA VI","PREVENCION","EDUCACION VIAL","CAPACITACION","FRANCISCA GOMEZ RIOS","5/1/2002","10/15/2004","97.000"
"D01I1050","2001","DESARROLLO Y EVALUACION DE UNA TECNOLOGIA NO TERMICA PARA LA PASTEURIZACION DE JUGOS CLARIFICADOS DE MANZANA","PASTEURIZACION","JUGOS","NO TERMICO","LUIS AGUILAR CAVALLO","4/1/2002","8/31/2005","180.000"
"D01I1051","2001","LECTES, PROGRAMA DE OPTIMIZACION DE LA COMPETENCIA ESTRATEGICA PARA COMPRENDER Y PRODUCIR TEXTOS ESCRITOS","COMPETENCIA ESTRATEGICA","LECTURA Y ESCRITURA","METODOLOGIA Y MATERIALES","JUANA MARINKOVICH RAVENA","4/8/2002","4/8/2005","190.000"
